id,start,end,nom,resp,dep,iddep
11721,2013-04-26,,"Secció d'Inspecció","Francesc Xavier Castro Dòria","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11722,2013-04-26,,"Secció de Prevenció d'Incendis Forestals","José Ángel Terés Blanco","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11723,2013-04-26,,"Institut Català de les Empreses Culturals (ICEC)","Teresa Enrich Mas","Departament de Cultura",2221
11725,2013-04-26,,"Àrea de Promoció d'Activitats i Entitats (ICD)","Montserrat Vila Albet","Departament de Benestar Social i Família",5823
11726,2013-04-26,,"Àrea de Programes Europeus (ICD)","null","Departament de Benestar Social i Família",5823
11747,2013-04-26,,"Direcció General de Comunicació del Govern","Jordi Cuminal i Roquet","Departament de la Presidència",6
11749,2013-04-26,,"Gabinet de Premsa","Joan Maria Piqué Fernández","Departament de la Presidència",6
11750,2013-04-26,,"Oficina de la Secretaria del Conseller","Montserrat Blanco Nuño","Departament d'Economia i Coneixement",1103
11751,2013-04-26,,"Oficina de Relacions Institucionals","Georgina Ferri Tordera","Departament d'Economia i Coneixement",1103
11752,2013-04-26,,"Institució Catalana de Recerca i Estudis Avançats (ICREA)","Jaume Bertranpetit","Departament d'Economia i Coneixement",1103
11753,2013-04-26,,"Casal Cívic Balaguer","null","Departament de Benestar Social i Família",5823
11755,2013-04-26,2014-01-25,"Oficina de Treball de la Generalitat de Terrassa-Edison ","Ricard Jo Siraña","Departament d'Empresa i Ocupació",15638
11757,2013-04-26,,"Comissió Jurídica Assessora","Tomàs Font i Llovet","Comissió Jurídica Assessora",11757
11759,2013-04-26,,"Direcció d'Atenció Primària Lleida","Eugeni Joan Paredes Costa","Departament de Salut",2803
11798,2013-04-26,,"Oficina Liquidadora de Rubí","null","Departament d'Economia i Coneixement",1103
11818,2013-04-26,,"Consorci Sanitari de l'Anoia","Francesc Xavier Niño Nuñez","Departament de Salut",2803
11860,2013-04-26,,"Consell Català de Formació Farmacèutica Continuada","null","Departament de Salut",2803
11880,2013-04-26,,"Casal de Gent Gran de Ponts","null","Departament de Benestar Social i Família",5823
11881,2013-04-26,,"Comissió de Toponímia","null","Departament de Cultura",2221
11885,2013-04-26,,"Subdirecció de l'Agència Catalana de Turisme","Patrick Torrent i Queralt","Departament d'Empresa i Ocupació",15638
11886,2013-04-26,,"Unitat de Gestió Econòmica","Josep Antoni Gil i Ferré","Departament d'Empresa i Ocupació",15638
11887,2013-04-26,,"Unitat d'Assessoria Jurídica i Contractació","Marta Alañá i Negre","Departament d'Empresa i Ocupació",15638
11888,2013-04-26,,"Unitat d'Operacions","Miquel Alabern i Nebot","Departament d'Empresa i Ocupació",15638
11889,2013-04-26,,"Relacions Institucionals i Projectes Estratègics","Jordi Secall i Cubells","Departament d'Empresa i Ocupació",15638
11890,2013-04-26,,"Unitat de Màrqueting","Maria Carme Pons Solà","Departament d'Empresa i Ocupació",15638
11891,2013-04-26,,"Centre de Documentació Europea (UAB)","null","Departament d'Economia i Coneixement",1103
11893,2013-04-26,,"Centre de Documentació Europea (UdG)","null","Departament d'Economia i Coneixement",1103
11894,2013-04-26,,"Centre de Documentació Europea (UdL)","null","Departament d'Economia i Coneixement",1103
11895,2013-04-26,,"Centre de Documentació Europea (URV)","null","Departament d'Economia i Coneixement",1103
11897,2013-04-26,,"Oficina de Comunicació","null","Departament d'Economia i Coneixement",1103
11898,2013-04-26,,"Delegació Territorial del Govern de la Generalitat a les Terres de l'Ebre","Francisco Javier Pallarès Povill","Departament de la Presidència",6
11899,2013-04-26,,"Secretaria de la Delegació Territorial del Govern de la Generalitat a les Terres de l'Ebre","Josep Albiol Fraile","Departament de la Presidència",6
11900,2013-04-26,,"Servei Territorial del Joc i d'Espectacles a les Terres de l'Ebre","Joan Juan Aixa","Departament de la Presidència",6
11902,2013-04-26,,"Serveis Territorials del Departament de Justícia a les Terres de l'Ebre","Joan Juan Aixa","Departament de Justícia",13757
11903,2013-04-26,,"Serveis Territorials de Governació i Relacions Institucionals a les Terres de l'Ebre","Maria Rosa Peig i Compte","Departament de Governació i Relacions Institucionals",655
11904,2013-04-26,,"Servei Territorial d'Administració Local a les Terres de l'Ebre","Josep Solanes i Esquirol","Departament de Governació i Relacions Institucionals",655
11906,2013-04-26,2013-10-17,"Delegat de l'Escola d'Administració Pública a les Terres de l'Ebre","null","Departament de Governació i Relacions Institucionals",655
11907,2013-04-26,,"Assessoria Jurídica","null","Departament de la Presidència",6
